NAME,OWS,DWS,Win Shares,WS/48,OBPM,DBPM,BPM,VORP,Wins Above Replacement
Fred VanVleet,2.4,1.9,4.3,.117,0.7,-0.7,0.0,0.9,2.43
Noah Vonleh,1.5,1.7,3.2,.090,-1.6,1.6,0.0,0.9,2.43
Nikola Vučević,5.4,4.7,10.1,.193,3.0,3.4,6.4,5.3,14.31
Dwyane Wade,0.1,2.3,2.4,.061,-0.4,0.0,-0.5,0.7,1.89
Moritz Wagner,-0.3,0.5,0.2,.020,-4.0,-1.1,-5.1,-0.3,-0.81
Dion Waiters,0.1,1.1,1.2,.052,-0.3,-1.6,-1.9,0.0,0.0
Kemba Walker,5.5,1.9,7.4,.123,5.1,-1.7,3.3,3.9,10.530000000000001
Lonnie Walker,-0.1,0.2,0.0,.019,-4.7,0.3,-4.4,-0.1,-0.27
John Wall,0.5,0.7,1.2,.051,1.1,-1.2,-0.2,0.5,1.35
Tyrone Wallace,-0.8,0.5,-0.3,-0.023,-5.5,-0.9,-6.3,-0.7,-1.89
Taurean Waller-Prince,0.8,0.7,1.5,.047,-0.4,-1.5,-1.9,0.0,0.0
Brad Wanamaker,0.6,0.4,1.0,.134,-0.8,-1.4,-2.2,0.0,0.0
T.J. Warren,1.6,0.5,2.1,.074,0.1,-1.8,-1.7,0.1,0.27
Julian Washburn,-0.2,0.3,0.1,.023,-4.8,1.4,-3.4,-0.1,-0.27
Yuta Watanabe,-0.4,0.2,-0.2,-0.065,-8.2,-1.2,-9.3,-0.3,-0.81
Thomas Welsh,0.1,0.0,0.1,.162,1.7,-4.3,-2.6,0.0,0.0
Russell Westbrook,1.8,5.0,6.8,.124,2.5,3.9,6.5,5.6,15.12
Derrick White,1.7,1.9,3.6,.101,-0.2,1.1,0.9,1.3,3.5100000000000002
